Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1972","1972","1000 ha","165","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1973","1973","1000 ha","31210","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1973","1973","1000 ha","190","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1974","1974","1000 ha","30530","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1974","1974","1000 ha","210","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1975","1975","1000 ha","30800","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1975","1975","1000 ha","235","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1976","1976","1000 ha","30460","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1976","1976","1000 ha","252","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1977","1977","1000 ha","30640","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1977","1977","1000 ha","273","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1978","1978","1000 ha","31150","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1978","1978","1000 ha","267","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1979","1979","1000 ha","31050","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1979","1979","1000 ha","287","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1980","1980","1000 ha","32110","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1980","1980","1000 ha","306","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1981","1981","1000 ha","31160","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1981","1981","1000 ha","344","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1982","1982","1000 ha","33140","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1982","1982","1000 ha","369","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1983","1983","1000 ha","31040","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1983","1983","1000 ha","369","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1984","1984","1000 ha","32110","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1984","1984","1000 ha","390","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1984","1984","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1985","1985","1000 ha","31710","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1985","1985","1000 ha","408","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1985","1985","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1986","1986","1000 ha","30140","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1986","1986","1000 ha","431","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1986","1986","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1987","1987","1000 ha","31250","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1987","1987","1000 ha","421","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1987","1987","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1988","1988","1000 ha","29920","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1988","1988","1000 ha","427","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1988","1988","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1989","1989","1000 ha","30410","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1989","1989","1000 ha","450","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1989","1989","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1990","1990","1000 ha","29750","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1990","1990","1000 ha","456","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1990","1990","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1991","1991","1000 ha","29810","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1991","1991","1000 ha","460","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1991","1991","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1992","1992","1000 ha","29920","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1992","1992","1000 ha","460","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1992","1992","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1993","1993","1000 ha","30230","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1993","1993","1000 ha","520","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1993","1993","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1994","1994","1000 ha","30250","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1994","1994","1000 ha","540","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1994","1994","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1995","1995","1000 ha","30460","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1995","1995","1000 ha","566","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1995","1995","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1996","1996","1000 ha","30550","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1996","1996","1000 ha","622","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1996","1996","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1997","1997","1000 ha","31040","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1997","1997","1000 ha","629","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1997","1997","1000 ha","5000","I","Imputed value",""
