Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1992","1992","t","24062","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","t","1659350","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1993","1993","t","464258","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1993","1993","t","23172","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","t","1738117","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1994","1994","t","428900","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1994","1994","t","16555","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","t","1991006","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1995","1995","t","494449","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1995","1995","t","29669","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","t","1985080","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1996","1996","t","419474","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1996","1996","t","8425","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","t","2087607","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1997","1997","t","551284","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1997","1997","t","20443","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1998","1998","t","2091852","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1998","1998","t","465000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1998","1998","t","21200","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1999","1999","t","2218100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1999","1999","t","596800","A","Official figure","Official data from questionnaire"
